Variant,Dataset,Result,Type
GPT-3.5+MulMod,GHArchive,0.692,Overall Detection
GPT-3.5+MulMod,GHArchive,0.695,Overall Detection
GPT-3.5+MulMod,GHArchive,0.692,Overall Detection
GPT-3.5+MulMod,GHArchive,0.703,Overall Detection
GPT-3.5+MulMod,GHArchive,0.668,Overall Detection
GPT-3.5+MulMod,GHArchive,0.694,Overall Detection
GPT-3.5+MulMod,GHArchive,0.698,Overall Detection
GPT-3.5+MulMod+MulSrc,GHArchive,0.687,Overall Detection
GPT-3.5+MulMod+MulSrc,GHArchive,0.682,Overall Detection
GPT-3.5+MulMod+MulSrc,GHArchive,0.664,Overall Detection
GPT-3.5+MulMod+MulSrc,GHArchive,0.672,Overall Detection
GPT-3.5+MulMod+MulSrc,GHArchive,0.658,Overall Detection
GPT-3.5+MulMod+MulSrc,GHArchive,0.678,Overall Detection
GPT-3.5+MulMod+MulSrc,GHArchive,0.669,Overall Detection
Ours,GHArchive,0.889,Overall Detection
Ours,GHArchive,0.876,Overall Detection
Ours,GHArchive,0.892,Overall Detection
Ours,GHArchive,0.853,Overall Detection
Ours,GHArchive,0.889,Overall Detection
Ours,GHArchive,0.894,Overall Detection
Ours,GHArchive,0.882,Overall Detection
GPT-3.5+MulMod,D2A,0.644,Overall Detection
GPT-3.5+MulMod,D2A,0.637,Overall Detection
GPT-3.5+MulMod,D2A,0.665,Overall Detection
GPT-3.5+MulMod,D2A,0.653,Overall Detection
GPT-3.5+MulMod,D2A,0.664,Overall Detection
GPT-3.5+MulMod,D2A,0.627,Overall Detection
GPT-3.5+MulMod,D2A,0.660 ,Overall Detection
GPT-3.5+MulMod+MulSrc,D2A,0.635,Overall Detection
GPT-3.5+MulMod+MulSrc,D2A,0.622,Overall Detection
GPT-3.5+MulMod+MulSrc,D2A,0.627,Overall Detection
GPT-3.5+MulMod+MulSrc,D2A,0.614,Overall Detection
GPT-3.5+MulMod+MulSrc,D2A,0.657,Overall Detection
GPT-3.5+MulMod+MulSrc,D2A,0.620 ,Overall Detection
GPT-3.5+MulMod+MulSrc,D2A,0.623,Overall Detection
Ours,D2A,0.806,Overall Detection
Ours,D2A,0.814,Overall Detection
Ours,D2A,0.788,Overall Detection
Ours,D2A,0.803,Overall Detection
Ours,D2A,0.810 ,Overall Detection
Ours,D2A,0.814,Overall Detection
Ours,D2A,0.800 ,Overall Detection
GPT-3.5+MulMod,D2A$\rightarrow$GHArchive,,Overall Detection
GPT-3.5+MulMod,D2A$\rightarrow$GHArchive,,Overall Detection
GPT-3.5+MulMod,D2A$\rightarrow$GHArchive,,Overall Detection
GPT-3.5+MulMod,D2A$\rightarrow$GHArchive,,Overall Detection
GPT-3.5+MulMod,D2A$\rightarrow$GHArchive,,Overall Detection
GPT-3.5+MulMod,D2A$\rightarrow$GHArchive,,Overall Detection
GPT-3.5+MulMod,D2A$\rightarrow$GHArchive,,Overall Detection
GPT-3.5+MulMod+MulSrc,D2A$\rightarrow$GHArchive,,Overall Detection
GPT-3.5+MulMod+MulSrc,D2A$\rightarrow$GHArchive,,Overall Detection
GPT-3.5+MulMod+MulSrc,D2A$\rightarrow$GHArchive,,Overall Detection
GPT-3.5+MulMod+MulSrc,D2A$\rightarrow$GHArchive,,Overall Detection
GPT-3.5+MulMod+MulSrc,D2A$\rightarrow$GHArchive,,Overall Detection
GPT-3.5+MulMod+MulSrc,D2A$\rightarrow$GHArchive,,Overall Detection
GPT-3.5+MulMod+MulSrc,D2A$\rightarrow$GHArchive,,Overall Detection
Ours,D2A$\rightarrow$GHArchive,,Overall Detection
Ours,D2A$\rightarrow$GHArchive,,Overall Detection
Ours,D2A$\rightarrow$GHArchive,,Overall Detection
Ours,D2A$\rightarrow$GHArchive,,Overall Detection
Ours,D2A$\rightarrow$GHArchive,,Overall Detection
Ours,D2A$\rightarrow$GHArchive,,Overall Detection
Ours,D2A$\rightarrow$GHArchive,,Overall Detection
GPT-3.5+MulMod,GHArchive$\rightarrow$D2A,,Overall Detection
GPT-3.5+MulMod,GHArchive$\rightarrow$D2A,,Overall Detection
GPT-3.5+MulMod,GHArchive$\rightarrow$D2A,,Overall Detection
GPT-3.5+MulMod,GHArchive$\rightarrow$D2A,,Overall Detection
GPT-3.5+MulMod,GHArchive$\rightarrow$D2A,,Overall Detection
GPT-3.5+MulMod,GHArchive$\rightarrow$D2A,,Overall Detection
GPT-3.5+MulMod,GHArchive$\rightarrow$D2A,,Overall Detection
GPT-3.5+MulMod+MulSrc,GHArchive$\rightarrow$D2A,,Overall Detection
GPT-3.5+MulMod+MulSrc,GHArchive$\rightarrow$D2A,,Overall Detection
GPT-3.5+MulMod+MulSrc,GHArchive$\rightarrow$D2A,,Overall Detection
GPT-3.5+MulMod+MulSrc,GHArchive$\rightarrow$D2A,,Overall Detection
GPT-3.5+MulMod+MulSrc,GHArchive$\rightarrow$D2A,,Overall Detection
GPT-3.5+MulMod+MulSrc,GHArchive$\rightarrow$D2A,,Overall Detection
GPT-3.5+MulMod+MulSrc,GHArchive$\rightarrow$D2A,,Overall Detection
Ours,GHArchive$\rightarrow$D2A,,Overall Detection
Ours,GHArchive$\rightarrow$D2A,,Overall Detection
Ours,GHArchive$\rightarrow$D2A,,Overall Detection
Ours,GHArchive$\rightarrow$D2A,,Overall Detection
Ours,GHArchive$\rightarrow$D2A,,Overall Detection
Ours,GHArchive$\rightarrow$D2A,,Overall Detection
Ours,GHArchive$\rightarrow$D2A,,Overall Detection
